brand,model_name,trim_name,major_category,size_score,model_year,vehicle_age_years,color,mileage_km,price_manwon
hyundai,캐스퍼,디 에센셜,suv,0.721501,2023,2.92,초록(연두),5770.0,1780
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2018,8.17,검정색,46161.0,890
kgm,코란도 스포츠,CX7 클럽,truck,32.317073,2015,11.33,회색,250598.0,390
hyundai,코나,모던 팝,suv,6.709957,2018,8.58,"파랑(남색,곤색)",140663.0,1150
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,8.5,흰색,117863.0,970
hyundai,더 뉴 그랜저 하이브리드,르블랑,sedan,76.928021,2023,3.42,흰색,121544.0,2580
hyundai,캐스퍼,인스퍼레이션,suv,0.721501,2024,1.25,카키색,9082.0,1850
kgm,코란도 스포츠,어드벤처 60th 에디션,truck,1.219512,2015,11.33,흰색,130410.0,880
kgm,티볼리,LX 최고급형,suv,15.007215,2015,10.75,"파랑(남색,곤색)",101971.0,950
kia,뉴모닝,LX 고급형,hatchback,2.331606,2016,9.5,미색,67086.0,680
kgm,베리 뉴 티볼리,V3,suv,18.686869,2020,6.33,흰색,112139.0,1280
renault,SM3 네오,PE,sedan,20.694087,2016,10.67,흰색,118137.0,350
kia,카니발 4세대,시그니처,van,92.896175,2022,4.33,검정투톤,69811.0,3050
hyundai,더 뉴 그랜드스타렉스,12인승,van,81.693989,2021,5.25,노랑,29854.0,1940
kgm,베리 뉴 티볼리,V3,suv,18.686869,2020,6.33,흰색,30625.0,1440
kia,더 뉴 셀토스,시그니처,suv,26.479076,2023,3.58,미색,73475.0,2400
renault,QM3,RE,suv,3.751804,2016,10.0,미색,93680.0,750
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.67,흰색,39960.0,1380
hyundai,베뉴,모던 플러스,suv,2.380952,2022,4.0,흰색,87604.0,1590
kia,디 올 뉴 스포티지,노블레스,suv,53.391053,2022,4.33,흰색,64447.0,2590
hyundai,디 올 뉴 그랜저 하이브리드,캘리그래피,sedan,63.303342,2023,2.08,회색,22409.0,4270
kia,더 뉴 봉고3,초장축 L,truck,23.780488,2025,1.33,"파랑(남색,곤색)",7947.0,1950
kia,스포티지 더 볼드,노블레스,suv,42.063492,2016,10.0,흰색,84967.0,1170
kia,K5,프레스티지,sedan,27.377892,2020,5.5,회색,45358.0,2190
kia,디 올 뉴 니로,시그니처,suv,17.965368,2022,4.17,미색,26043.0,2890
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.67,검정,279625.0,850
hyundai,디 올 뉴 투싼 하이브리드,인스퍼레이션,suv,45.310245,2022,4.33,,,2880
hyundai,더 뉴 투싼 하이브리드,인스퍼레이션,suv,45.887446,2024,1.58,흰색,22243.0,3650
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2023,3.33,흰색,87103.0,2550
hyundai,아반떼MD,M16 모던,sedan,3.984576,2016,10.58,흰색,94039.0,750
chevrolet,올란도,LTZ 프리미엄,van,20.491803,2015,10.58,회색,115470.0,690
kia,더 뉴 K8 하이브리드,노블레스,sedan,62.017995,2025,1.25,흰색,31605.0,4350
kia,K7 프리미어,프레스티지,sedan,78.534704,2020,6.25,회색,57062.0,2250
kia,더 뉴 K5 하이브리드 3세대,시그니처,sedan,34.640103,2025,0.92,미색,9756.0,3950
kia,올 뉴 카니발,VIP,van,41.803279,2018,8.5,검정,90012.0,1590
kia,올 뉴 카니발,노블레스,van,41.803279,2016,10.42,미색,175327.0,1470
hyundai,제네시스,럭셔리,sedan,89.33162,2017,9.67,회색,60483.0,2072
hyundai,코나,모던 팝,suv,6.709957,2018,7.92,빨강(주홍),44646.0,1380
hyundai,그랜저IG,프리미엄,sedan,64.010283,2023,3.58,흰색,67282.0,2550
chevrolet,더 뉴 트랙스,LT 코어,suv,23.593074,2020,5.42,흰색,77988.0,1200
kia,카니발 4세대,시그니처,van,92.896175,2022,4.08,검정,85333.0,3050
hyundai,캐스퍼,디 에센셜,suv,0.721501,2023,3.0,흰색,18795.0,1800
hyundai,그랜드스타렉스,스마트,van,60.10929,2018,8.75,회색,150027.0,1130
hyundai,더 뉴 코나,인스퍼레이션,suv,7.503608,2023,3.17,"파랑(남색,곤색)",22118.0,2450
chevrolet,아베오,LS 고급형,unknown,95.454545,2015,10.83,흰색,81117.0,430
kia,K5,프레스티지,sedan,27.377892,2019,7.75,검정,102249.0,1290
kgm,뉴 코란도 C,RX 고급형,suv,43.506494,2016,10.25,흰색,159231.0,490
kia,모닝 어반,프레스티지,hatchback,22.797927,2021,5.75,흰색,48677.0,1270
kia,K8 하이브리드,노블레스,sedan,62.724936,2022,4.33,검정색,133493.0,2330
renault,SM3 네오,SE,sedan,20.694087,2017,9.25,회색,172907.0,390
kia,더 뉴 K3,트렌디 스타일,sedan,4.691517,2018,8.25,미색,94218.0,860
kia,올 뉴 K7,리미티드,sedan,72.686375,2018,7.42,미색,51683.0,1820
hyundai,LF쏘나타,프리미엄,sedan,57.647815,2017,9.33,회색,99576.0,1000
hyundai,더 뉴 아반떼AD,스타일,sedan,12.14653,2019,6.83,흰색,47000.0,1500
hyundai,더 뉴 아반떼AD,스타일,sedan,12.14653,2019,7.42,회색,75300.0,1370
hyundai,캐스퍼,모던,suv,0.721501,2023,3.58,흰색,62767.0,1650
hyundai,팰리세이드,캘리그래피,suv,94.877345,2022,4.25,흰색,64727.0,3200
kgm,더 뉴 코란도 스포츠,익스트림,truck,42.073171,2017,9.08,흰색,143501.0,1220
kia,올 뉴 카니발,,van,66.393443,2023,2.92,검정색,31000.0,5300
kia,더 뉴 레이,스탠다드,van,3.005464,2018,7.92,흰색,164451.0,690
kia,쏘렌토 4세대 하이브리드,노블레스,suv,68.326118,2021,5.08,미색,68088.0,3180
hyundai,코나,프리미엄,suv,6.709957,2018,7.67,흰색,54345.0,1790
hyundai,제네시스,프리미엄 스페셜 다이나믹 에디션,sedan,88.431877,2022,4.08,흰색,62682.0,4946
kia,더 뉴 기아 레이,프레스티지,hatchback,53.367876,2025,1.25,흰색,9880.0,1720
chevrolet,더 넥스트 스파크,LT 플러스,hatchback,7.253886,2017,9.75,흰색,107439.0,440
hyundai,그랜저HG 하이브리드,프리미엄,sedan,60.539846,2015,11.67,흰색,204985.0,550
kia,올 뉴 K7,노블레스,sedan,77.634961,2019,6.75,미색,37003.0,1950
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,미색,98336.0,2580
kia,스토닉,트렌디,suv,1.948052,2019,7.08,흰색,29278.0,1660
hyundai,더 뉴 아반떼 [CN7],인스퍼레이션,sedan,13.367609,2024,2.33,회색,26892.0,2420
chevrolet,더 뉴 트랙스,프리미어,suv,23.593074,2019,6.83,흰색,36849.0,1350
hyundai,베뉴,모던,suv,2.380952,2020,6.25,"파랑(남색,곤색)",49658.0,1390
kia,올 뉴 모닝 [JA],프레스티지,hatchback,22.797927,2018,7.33,흰색,80742.0,950
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2026,0.58,검정,13301.0,5490
kia,니로,프레스티지,suv,13.131313,2017,9.42,미색,151807.0,1230
renault,더 뉴 SM6,필,sedan,44.151671,2024,2.08,회색,79126.0,1600
kia,카니발 4세대,시그니처,van,92.896175,2022,3.92,미색,84435.0,2990
renault,더 뉴 QM6,LE 시그니처,suv,57.215007,2023,3.67,흰색,59001.0,1790
kgm,토레스,T7,suv,62.265512,2023,3.5,흰색,42732.0,2250
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.58,검정색,112713.0,1490
hyundai,그랜저HG,모던,sedan,61.568123,2015,10.83,흰색,67890.0,1070
hyundai,아반떼AD,밸류 플러스,sedan,8.033419,2018,7.5,흰색,83852.0,1190
kia,더 뉴 모닝 [JA],시그니처,hatchback,22.797927,2024,2.67,초록(연두),23232.0,1690
hyundai,그랜저IG,모던,sedan,70.694087,2019,7.58,흰색,89719.0,1620
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2020,5.83,흰색,116773.0,3990
kia,쏘렌토 4세대,프레스티지,suv,75.901876,2021,5.67,진주색,65836.0,2700
hyundai,올 뉴 아반떼 하이브리드 [CN7],모던,sedan,11.182519,2022,4.17,쥐색,131079.0,1480
kia,스포티지 4세대,노블레스 스페셜,suv,41.269841,2016,10.42,회색,126829.0,1250
kia,카니발 4세대,프레스티지,van,44.808743,2022,4.33,미색,21466.0,2990
kia,더 뉴 쏘렌토 4세대,노블레스,suv,79.292929,2026,0.58,검정,4798.0,3660
kia,더 뉴 레이,시그니처,van,3.005464,2021,5.42,미색,64461.0,1300
kia,카니발 4세대,시그니처,van,92.896175,2021,5.25,검정,144012.0,2470
hyundai,싼타페TM,익스클루시브 스페셜,suv,70.41847,2019,7.33,회색,120729.0,1820
hyundai,그랜드스타렉스,CVX 프리미엄,van,56.010929,2015,11.08,회색,107714.0,1060
kia,더 뉴 레이,럭셔리,van,3.005464,2019,6.67,흰색,61158.0,1140
kia,더 뉴 스포티지R,프레스티지,suv,39.53824,2017,9.33,미색,120149.0,1160
kia,K5 하이브리드,500H 프레스티지,sedan,28.984576,2015,11.08,미색,162221.0,650
kia,더 뉴 K5 하이브리드 3세대,프레스티지,sedan,34.640103,2024,1.25,미색,17717.0,2750
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2023,3.0,검정,77537.0,2750
hyundai,베뉴,플럭스,suv,2.741703,2022,4.5,"파랑(남색,곤색)",30250.0,1870
kia,카니발 4세대,프레스티지,van,44.808743,2021,5.08,검정색,94478.0,2530
kia,봉고3,더블캡,truck,26.829268,2018,7.75,흰색,142025.0,1150
kia,레이,디럭스,hatchback,53.367876,2015,11.42,회색,151549.0,480
hyundai,더 뉴 투싼,인스퍼레이션,suv,51.803752,2021,5.33,회색,60120.0,2550
hyundai,제네시스 DH,프리미엄,sedan,89.010283,2015,11.83,검정,180263.0,900
hyundai,더 뉴 그랜저 하이브리드,르블랑,sedan,76.928021,2023,3.75,흰색,22303.0,3074
kia,카니발 4세대,시그니처,van,92.896175,2022,4.58,미색,110530.0,2990
hyundai,캐스퍼,디 에센셜,suv,0.721501,2024,2.25,흰색,11788.0,1690
hyundai,제네시스,프리미엄 스페셜 다이나믹 에디션,sedan,88.431877,2024,2.25,초록(연두),22448.0,7400
hyundai,제네시스,로얄 VIP 팩,sedan,89.33162,2025,2.08,흰색,11897.0,6600
hyundai,싼타페 더 프라임,익스클루시브,suv,60.38961,2023,3.33,흰색,66651.0,2490
kia,올 뉴 K7,럭셔리,sedan,77.634961,2018,8.17,미색,111441.0,1290
