brand,model_name,level_name,class_name,launch_price_krw,displacement_cc,body_length_mm,body_width_mm,body_height_mm,major_category
chevrolet,더 넥스트 스파크,1.0,LS,10360000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LS 베이직,9990000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LS 베이직,9990000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LT,11340000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,995,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LT 플러스,10360000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LTZ,11360000,995,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LTZ,11340000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,LTZ,11340000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,11360000,995,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,12060000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 패션,12010000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 퍼펙트 블랙,15090000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,스페셜 에디션 퍼펙트 블랙,15090000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,에코 LS,14320000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,에코 LS,14270000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,에코 LS 베이직,12710000,999,3595,1595,1475,hatchback
chevrolet,더 넥스트 스파크,1.0,에코 LS 베이직,14300000,999,3595,1595,1475,hatchback
